year,month,day,hour,PV_predict_bid[kW],PV_predict_realtime[kW],PV_actual[kW],energyprice_predict_bid[Yen/kWh],energyprice_predict_realtime[Yen/kWh],energyprice_actual[Yen/kWh],imbalanceprice_predict_bid[Yen/kWh],imbalanceprice_predict_realtime[Yen/kWh],imbalanceprice_actual[Yen/kWh],charge/discharge_bid[kWh],charge/discharge_realtime[kWh],charge/discharge_actual_bid[kWh],charge/discharge_actual_realtime[kWh],SoC_bid[%],SoC_realtime[%],SoC_actual_bid[%],SoC_actual_realtime[%],energytransfer_bid[kWh],energytransfer_realtime[kWh],energytransfer_actual_bid[kWh],energytransfer_actual_realtime[kWh],energyprofit_bid[Yen],energyprofit_realtime[Yen],imbalancepenalty_realtime[Yen],imbalancepenalty_actual_bid[Yen],imbalancepenalty_actual_realtime[Yen],totalprofit_bid[Yen],totalprofit_realtime[Yen],totalprofit_actual_bid[Yen],totalprofit_actual_realtime[Yen],mode_bid,mode_realtime,mode,operation_case
2022,8,8,5,0,,0.057561596,0,,9.075,0,,17.195,0.24953063,,0.191969034,,1.115777336,,5.26157395,,0.24953063,,0.220749832,,2.003304725,,,-0.494885822,,2.003304725,,1.508418904,,,,-999,1
2022,8,8,5.5,0,,0.126955976,0,,9.605,0,,16.78,1,,0.420925916,,1.365307964,,0,,1,,0.484403904,,4.652699498,,,-8.651702491,,4.652699498,,-3.999002993,,,,-999,1
2022,8,8,6,0,,0.275107612,0,,9.785,0,,14.645,0.84715587,,0,,2.365307964,,0,,0.84715587,,0.137553806,,1.345963992,,,-10.39212223,,1.345963992,,-9.046158236,,,,5,1
2022,8,8,6.5,0,,0.467921254,0,,9.76,0,,9.105,-0.7016999,,-1.169621154,,3.212463833,,14.62026443,,-0.7016999,,-0.935660527,,-9.132046744,,,-2.130211509,,-9.132046744,,-11.26225825,,,,-999,1
2022,8,8,7,0,,0.587205321,0,,9.605,0,,10.135,-0.45575386,,-1.042959181,,2.510763921,,27.65725419,,-0.45575386,,-0.749356521,,-7.197569379,,,-2.975662964,,-7.197569379,,-10.17323234,,,,-999,1
2022,8,8,7.5,0,,0.681702328,0,,9.785,0,,8.965,-0.64654785,,-1.328250178,,2.055010058,,44.26038141,,-0.64654785,,-0.987399014,,-9.661699352,,,-3.055730685,,-9.661699352,,-12.71743004,,,,-999,1
2022,8,8,8,0,,0.830107825,0,,8.265,0,,8.36,0.4829975,,-0.347110325,,1.408462204,,48.59926048,,0.4829975,,0.067943588,,0.561553751,,,-3.469850708,,0.561553751,,-2.908296958,,,,-999,1
2022,8,8,8.5,0,,0.97686456,0,,10,0,,11.485,-1,,-1.97686456,,1.891459711,,73.31006748,,-1,,-1.48843228,,-14.8843228,,,-5.609644736,,-14.8843228,,-20.49396754,,,,-999,1
2022,8,8,9,0,,1.093033549,0,,10.11,0,,15.18,-0.13135484,,-1.224388389,,0.891459711,,88.61492234,,-0.13135484,,-0.677871615,,-6.853282023,,,-8.296124637,,-6.853282023,,-15.14940666,,,,-999,1
2022,8,8,9.5,0,,1.442260597,0,,10.27,0,,15.49,-0.36099374,,-0.910806213,,0.760104872,,100,,-0.36099374,,-0.189675914,,-1.947971642,,,-2.653713117,,-1.947971642,,-4.601684759,,,,3,1
2022,8,8,10,0,,1.639932951,0,,10.255,0,,16.005,0.14763348,,2.22E-16,,0.399111129,,100,,0.14763348,,0.819966476,,8.408756206,,,-10.76068959,,8.408756206,,-2.351933387,,,,3,1
2022,8,8,10.5,0,,1.644581753,0,,11.47,0,,16.415,0.91499233,,0,,0.546744607,,100,,0.91499233,,0.822290877,,9.431676353,,,-1.521694359,,9.431676353,,7.909981994,,,,3,1
2022,8,8,11,0,,1.796141917,0,,11.785,0,,17.065,-1,,0,,1.46173694,,100,,-1,,0.898070959,,10.58376625,,,-32.39058091,,10.58376625,,-21.80681466,,,,3,1
2022,8,8,11.5,0,,1.83850107,0,,13,0,,26.53,0.83692205,,4.44E-16,,0.46173694,,100,,0.83692205,,0.919250535,,11.95025696,,,-2.184174707,,11.95025696,,9.766082248,,,,3,1
2022,8,8,12,0,,1.616453378,0,,10.255,0,,16.82,1,,-1.11E-16,,1.298658989,,100,,1,,0.808226689,,8.288364696,,,-3.225627091,,8.288364696,,5.062737605,,,,3,1
2022,8,8,12.5,0,,1.670021545,0,,11.55,0,,26.92,-0.8426638,,0,,2.298658989,,100,,-0.8426638,,0.835010773,,9.644374422,,,-45.16299949,,9.644374422,,-35.51862507,,,,3,1
2022,8,8,13,0,,1.587076883,0,,24.98,0,,17.96,-1,,0,,1.455995165,,100,,-1,,0.793538442,,19.82259027,,,-32.21195041,,19.82259027,,-12.38936014,,,,3,1
2022,8,8,13.5,0,,1.444208231,0,,25.66,0,,16.685,-1,,0,,0.455995165,,100,,-1,,0.722104116,,18.5291916,,,-28.73330717,,18.5291916,,-10.20411556,,,,3,1
2022,8,8,14,0,,1.366362377,0,,25.53,0,,16.3,-0.21843861,,0,,-0.544004835,,100,,-0.21843861,,0.683181189,,17.44161574,,,-14.69640272,,17.44161574,,2.745213027,,,,3,1
2022,8,8,14.5,0,,1.273381216,0,,26.285,0,,22.14,-0.91473836,,4.44E-16,,-0.762443446,,100,,-0.91473836,,0.636690608,,16.73541263,,,-34.34863735,,16.73541263,,-17.61322472,,,,3,1
2022,8,8,15,0,,1.127848322,0,,26.235,0,,16.565,-1,,-4.44E-16,,-1.677181803,,100,,-1,,0.563924161,,14.79455036,,,-25.90640373,,14.79455036,,-11.11185336,,,,3,1
2022,8,8,15.5,0,,0.863238649,0,,27.555,0,,22.12,-1,,0,,-2.677181803,,100,,-1,,0.431619325,,11.89327049,,,-31.66741946,,11.89327049,,-19.77414897,,,,3,1
2022,8,8,16,0,,0.752990128,0,,27.555,0,,25.975,-0.33744895,,-4.44E-16,,-3.677181803,,100,,-0.33744895,,0.376495064,,10.37432149,,,-18.54469576,,10.37432149,,-8.170374275,,,,3,1
2022,8,8,16.5,0,,0.719291102,0,,37.5,0,,26.685,1,,0.280708898,,-4.014630757,,96.49113878,,1,,0.640354449,,24.01329184,,,-9.597141528,,24.01329184,,14.41615031,,,,-999,1
2022,8,8,17,0,,0.522263762,0,,27.555,0,,25.765,-0.43741027,,-0.280708898,,-3.014630757,,100,,-0.43741027,,-0.019577017,,-0.539444703,,,-10.76547376,,-0.539444703,,-11.30491847,,,,3,1
2022,8,8,17.5,0,,0.210204293,0,,27.555,0,,26.39,-0.9913498,,-2.22E-16,,-3.452041022,,100,,-0.9913498,,0.105102146,,2.896089647,,,-28.93536687,,2.896089647,,-26.03927722,,,,3,1
2022,8,8,18,0,,0.1200231,0,,26.8,0,,17.29,-0.14647372,,-1.11E-16,,-4.443390839,,100,,-0.14647372,,0.06001155,,1.60830954,,,-3.570130318,,1.60830954,,-1.961820778,,,,3,1
2022,8,8,18.5,0,,0.011020983,0,,27.555,0,,11.175,-0.6592419,,3.33E-16,,-4.589864559,,100,,-0.6592419,,0.005510492,,0.151841593,,,-7.428607975,,0.151841593,,-7.276766382,,,,3,1
2022,8,8,19,0,,0.001252441,0,,27.555,0,,27.64,1,,0.998747559,,-5.249106474,,87.51565551,,1,,0.99937378,,27.53774449,,,-0.017308735,,27.53774449,,27.52043576,,,,-999,1
2022,8,8,19.5,0,,0,0,,26.13,0,,16.125,-0.31066108,,-0.31066108,,-4.249106474,,91.39891901,,-0.31066108,,-0.31066108,,-8.11757402,,,0,,-8.11757402,,-8.11757402,,,,-999,1
2022,8,8,20,0,,0,0,,25.925,0,,14.165,0.18579376,,0.18579376,,-4.559767552,,89.07649701,,0.18579376,,0.18579376,,4.816703228,,,0,,4.816703228,,4.816703228,,,,-999,1
2022,8,8,20.5,0,,0,0,,25.34,0,,23.16,0.90151405,,0.90151405,,-4.373973794,,77.80757139,,0.90151405,,0.90151405,,22.84436603,,,0,,22.84436603,,22.84436603,,,,-999,1
2022,8,8,21,0,,0,0,,25.06,0,,27.8,-1,,-1,,-3.472459741,,90.30757139,,-1,,-1,,-25.06,,,0,,-25.06,,-25.06,,,,-999,1
2022,8,8,21.5,0,,0,0,,15.93,0,,7.25,-0.8352797,,-0.775394289,,-4.472459741,,100,,-0.8352797,,-0.775394289,,-12.35203102,,,-0.43416923,,-12.35203102,,-12.78620025,,,,3,1
2022,8,8,22,0,,0,0,,19.505,0,,19.42,-0.5946409,,5.55E-16,,-5.307739444,,100,,-0.5946409,,5.55E-16,,1.08E-14,,,-11.54792628,,1.08E-14,,-11.54792628,,,,3,1
2022,8,8,22.5,0,,0,0,,14.995,0,,19.595,-0.71902305,,-4.44E-16,,-5.902380355,,100,,-0.71902305,,-4.44E-16,,-6.66E-15,,,-14.08925666,,-6.66E-15,,-14.08925666,,,,3,1
2022,8,8,23,0,,0,0,,12.25,0,,14.275,1,,1,,-6.621403404,,87.5,,1,,1,,12.25,,,0,,12.25,,12.25,,,,-999,1
2022,8,8,23.5,0,,0,0,,10.185,0,,17.985,1,,1,,-5.621403404,,75,,1,,1,,10.185,,,0,,10.185,,10.185,,,,-999,1
